instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011-01-01,winter,2011,1,0,saturday,0,cloudy,8.2,8.0,80.6,10.7,331,654,985
2,2011-01-02,winter,2011,1,0,sunday,0,cloudy,9.1,7.3,69.6,16.7,131,670,801
3,2011-01-03,winter,2011,1,0,monday,1,clear,1.2,-3.5,43.7,16.6,120,1229,1349
4,2011-01-04,winter,2011,1,0,tuesday,1,clear,1.4,-2.0,59.0,10.7,108,1454,1562
5,2011-01-05,winter,2011,1,0,wednesday,1,clear,2.7,-0.9,43.7,12.5,82,1518,1600
6,2011-01-06,winter,2011,1,0,thursday,1,clear,1.6,-0.6,51.8,6.0,88,1518,1606
7,2011-01-07,winter,2011,1,0,friday,1,cloudy,1.2,-2.2,49.9,11.3,148,1362,1510
8,2011-01-08,winter,2011,1,0,saturday,0,cloudy,-0.2,-5.3,53.6,17.9,68,891,959
9,2011-01-09,winter,2011,1,0,sunday,0,clear,-1.5,-8.3,43.4,24.3,54,768,822
10,2011-01-10,winter,2011,1,0,monday,1,clear,-0.9,-6.0,48.3,15.0,41,1280,1321
11,2011-01-11,winter,2011,1,0,tuesday,1,cloudy,-0.1,-3.4,68.6,8.2,43,1220,1263
12,2011-01-12,winter,2011,1,0,wednesday,1,clear,0.1,-5.4,60.0,20.4,25,1137,1162
13,2011-01-13,winter,2011,1,0,thursday,1,clear,-0.2,-6.0,47.0,20.2,38,1368,1406
14,2011-01-14,winter,2011,1,0,friday,1,clear,-0.4,-3.6,53.8,8.5,54,1367,1421
15,2011-01-15,winter,2011,1,0,saturday,0,cloudy,3.0,0.4,49.9,10.6,222,1026,1248
16,2011-01-16,winter,2011,1,0,sunday,0,clear,2.9,-0.5,48.4,12.6,251,953,1204
17,2011-01-17,winter,2011,1,1,monday,0,cloudy,0.3,-4.3,53.8,13.0,117,883,1000
18,2011-01-18,winter,2011,1,0,tuesday,1,cloudy,2.2,-0.7,86.2,9.8,9,674,683
19,2011-01-19,winter,2011,1,0,wednesday,1,cloudy,5.7,3.7,74.2,14.0,78,1572,1650
20,2011-01-20,winter,2011,1,0,thursday,1,cloudy,4.3,0.8,53.8,13.1,83,1844,1927
21,2011-01-21,winter,2011,1,0,friday,1,clear,0.3,-5.6,45.7,23.7,75,1468,1543
22,2011-01-22,winter,2011,1,0,saturday,0,clear,-5.2,-10.8,40.0,11.5,93,888,981
23,2011-01-23,winter,2011,1,0,sunday,0,clear,-3.5,-9.5,43.7,16.5,150,836,986
24,2011-01-24,winter,2011,1,0,monday,1,clear,-3.4,-8.2,49.2,10.6,86,1330,1416
25,2011-01-25,winter,2011,1,0,tuesday,1,cloudy,2.5,-0.5,61.7,8.7,186,1799,1985
26,2011-01-26,winter,2011,1,0,wednesday,1,light-rs,2.2,-2.6,86.2,19.7,34,472,506
27,2011-01-27,winter,2011,1,0,thursday,1,clear,1.2,-1.5,68.8,7.6,15,416,431
28,2011-01-28,winter,2011,1,0,friday,1,cloudy,1.6,-1.3,79.3,8.3,38,1129,1167
29,2011-01-29,winter,2011,1,0,saturday,0,clear,1.2,-2.0,65.2,9.7,123,975,1098
30,2011-01-30,winter,2011,1,0,sunday,0,clear,2.2,0.5,72.2,5.0,140,956,1096
31,2011-01-31,winter,2011,1,0,monday,1,cloudy,0.5,-3.7,60.4,12.5,42,1459,1501
32,2011-02-01,winter,2011,2,0,tuesday,1,cloudy,1.0,-0.5,83.0,3.6,47,1313,1360
33,2011-02-02,winter,2011,2,0,wednesday,1,cloudy,4.2,0.8,77.5,17.7,72,1454,1526
34,2011-02-03,winter,2011,2,0,thursday,1,clear,0.8,-4.3,43.8,18.6,61,1489,1550
35,2011-02-04,winter,2011,2,0,friday,1,cloudy,1.9,-0.9,58.5,8.6,88,1620,1708
36,2011-02-05,winter,2011,2,0,saturday,0,cloudy,3.0,0.0,92.9,10.8,100,905,1005
37,2011-02-06,winter,2011,2,0,sunday,0,clear,5.4,3.3,56.8,9.5,354,1269,1623
38,2011-02-07,winter,2011,2,0,monday,1,clear,4.8,4.0,73.8,3.0,120,1592,1712
39,2011-02-08,winter,2011,2,0,tuesday,1,clear,2.4,-2.9,53.8,24.3,64,1466,1530
40,2011-02-09,winter,2011,2,0,wednesday,1,cloudy,-1.7,-6.5,49.5,12.7,53,1552,1605
41,2011-02-10,winter,2011,2,0,thursday,1,clear,-1.2,-6.1,43.7,14.9,47,1491,1538
42,2011-02-11,winter,2011,2,0,friday,1,clear,0.9,-1.9,50.6,7.3,149,1597,1746
43,2011-02-12,winter,2011,2,0,saturday,0,clear,2.5,-0.6,54.4,13.6,288,1184,1472
44,2011-02-13,winter,2011,2,0,sunday,0,clear,6.9,5.4,45.7,17.5,397,1192,1589
45,2011-02-14,winter,2011,2,0,monday,1,clear,11.5,10.3,37.6,28.0,208,1705,1913
46,2011-02-15,winter,2011,2,0,tuesday,1,clear,4.5,0.8,31.4,19.5,140,1675,1815
47,2011-02-16,winter,2011,2,0,wednesday,1,clear,7.0,4.9,42.3,16.9,218,1897,2115
48,2011-02-17,winter,2011,2,0,thursday,1,clear,12.5,12.3,50.5,15.4,259,2216,2475
49,2011-02-18,winter,2011,2,0,friday,1,clear,16.5,17.8,51.7,17.7,579,2348,2927
50,2011-02-19,winter,2011,2,0,saturday,0,clear,10.8,9.8,18.8,34.0,532,1103,1635
51,2011-02-20,winter,2011,2,0,sunday,0,clear,5.4,2.3,40.8,15.0,639,1173,1812
52,2011-02-21,winter,2011,2,1,monday,0,cloudy,6.3,2.7,60.5,20.6,195,912,1107
53,2011-02-22,winter,2011,2,0,tuesday,1,clear,0.6,-3.7,57.8,13.1,74,1376,1450
54,2011-02-23,winter,2011,2,0,wednesday,1,clear,2.4,0.2,42.3,6.3,139,1778,1917
55,2011-02-24,winter,2011,2,0,thursday,1,cloudy,5.9,3.1,69.7,16.8,100,1707,1807
56,2011-02-25,winter,2011,2,0,friday,1,cloudy,9.1,7.1,71.2,23.2,120,1341,1461
57,2011-02-26,winter,2011,2,0,saturday,0,clear,5.3,2.6,53.8,12.5,424,1545,1969
58,2011-02-27,winter,2011,2,0,sunday,0,clear,8.1,7.2,68.0,8.4,694,1708,2402
59,2011-02-28,winter,2011,2,0,monday,1,cloudy,11.1,10.4,87.6,19.4,81,1365,1446
60,2011-03-01,winter,2011,3,0,tuesday,1,clear,4.5,1.4,53.5,14.5,137,1714,1851
61,2011-03-02,winter,2011,3,0,wednesday,1,clear,7.7,5.1,45.0,20.6,231,1903,2134
62,2011-03-03,winter,2011,3,0,thursday,1,clear,1.3,-2.8,31.8,15.1,123,1562,1685
63,2011-03-04,winter,2011,3,0,friday,1,cloudy,4.3,0.9,61.0,13.6,214,1730,1944
64,2011-03-05,winter,2011,3,0,saturday,0,cloudy,10.1,9.0,78.9,16.9,640,1437,2077
65,2011-03-06,winter,2011,3,0,sunday,0,cloudy,9.7,8.2,94.8,23.0,114,491,605
66,2011-03-07,winter,2011,3,0,monday,1,clear,4.3,-0.3,55.1,22.9,244,1628,1872
67,2011-03-08,winter,2011,3,0,tuesday,1,clear,5.7,4.0,42.1,8.1,316,1817,2133
68,2011-03-09,winter,2011,3,0,wednesday,1,cloudy,5.9,2.9,77.5,14.8,191,1700,1891
69,2011-03-10,winter,2011,3,0,thursday,1,light-rs,10.3,9.5,0.0,17.5,46,577,623
