"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"2020-05-11","18.30","18.15","-1.79","18.11","18.93","1.19e9"
"2020-05-08","17.74","18.48","5.96","17.71","18.58","1.51e9"
"2020-05-07","17.75","17.44","0.93","17.35","17.87","1.42e9"
"2020-05-06","17.87","17.28","-3.68","17.28","18.06","1.18e9"
"2020-05-05","17.90","17.94","3.22","17.87","18.48","1.36e9"
"2020-05-04","17.43","17.38","-3.71","17.18","17.62","1.04e9"
"2020-04-30","17.98","18.05","-0.82","17.70","18.42","1.43e9"
"2020-04-29","17.80","18.20","5.51","17.53","18.48","1.70e9"
"2020-04-28","17.04","17.25","4.86","16.63","17.25","1.55e9"
"2020-04-27","16.14","16.45","3.13","15.78","16.53","1.39e9"
"2020-04-24","16.69","15.95","-5.90","15.28","16.79","2.56e9"
"2020-04-23","17.20","16.95","1.19","16.62","17.43","1.61e9"
"2020-04-22","15.85","16.75","5.02","15.78","16.75","1.86e9"
"2020-04-20","15.48","15.95","-1.12","15.34","16.33","2.11e9"
"2020-04-17","15.75","16.13","2.61","15.56","16.13","1.84e9"
"2020-04-16","16.67","15.72","-4.03","15.53","16.76","1.81e9"
"2020-04-15","16.04","16.38","-2.09","15.86","16.47","1.40e9"
"2020-04-14","17.02","16.73","-1.18","16.61","17.30","1.54e9"
"2020-04-13","16.82","16.93","0.65","16.33","17.09","1.56e9"
"2020-04-09","17.94","16.82","-2.89","16.50","18.69","3.25e9"
"2020-04-08","16.50","17.32","5.61","16.40","17.53","1.94e9"
"2020-04-07","16.61","16.40","3.99","16.34","17.07","2.34e9"
"2020-04-06","16.05","15.77","2.80","15.18","16.10","1.92e9"
"2020-04-03","16.30","15.34","-1.10","14.93","16.36","2.19e9"
"2020-04-02","15.40","15.51","8.46","15.01","16.55","3.70e9"
"2020-04-01","13.45","14.30","2.22","13.32","14.55","1.59e9"
"2020-03-31","13.60","13.99","4.56","13.60","14.54","2.18e9"
"2020-03-30","13.15","13.38","0.60","12.83","13.74","1.47e9"
"2020-03-27","13.30","13.30","-7.57","13.25","13.69","1.35e9"
"2020-03-26","14.40","14.39","0.49","13.81","15.19","1.88e9"
"2020-03-25","13.24","14.32","8.08","12.83","14.79","2.18e9"
"2020-03-24","12.57","13.25","15.22","12.28","13.54","1.47e9"
"2020-03-23","12.11","11.50","-4.17","11.28","12.18","1.23e9"
"2020-03-20","13.11","12.00","-1.72","11.83","13.50","1.88e9"
"2020-03-19","11.07","12.21","8.15","10.85","13.07","1.86e9"
"2020-03-18","11.79","11.29","-13.15","10.87","12.29","1.84e9"
"2020-03-17","13.60","13.00","-0.69","13.00","13.84","1.97e9"
"2020-03-16","12.91","13.09","-15.00","12.55","14.10","1.67e9"
"2020-03-13","15.10","15.40","22.22","12.70","15.40","2.41e9"
"2020-03-12","13.66","12.60","-20.50","11.08","13.86","1.89e9"
"2020-03-11","16.70","15.85","-9.74","15.00","17.13","2.09e9"
"2020-03-10","18.65","17.56","9.41","16.37","18.65","2.95e9"
"2020-03-09","17.81","16.05","-29.70","15.41","18.23","4.31e9"
"2020-03-06","24.10","22.83","-9.73","22.55","24.13","3.22e9"
"2020-03-05","26.33","25.29","-5.95","24.71","26.67","1.80e9"
"2020-03-04","26.91","26.89","3.22","26.24","26.94","1.13e9"
"2020-03-03","26.57","26.05","-1.81","25.76","27.48","2.31e9"
"2020-03-02","25.50","26.53","4.70","25.48","26.75","1.88e9"
"2020-02-28","25.16","25.34","0.16","24.62","25.56","2.23e9"
"2020-02-27","25.72","25.30","-3.47","24.89","26.53","2.57e9"
"2020-02-26","27.04","26.21","-10.05","26.03","27.39","2.38e9"
"2020-02-21","29.51","29.14","-2.61","29.03","29.68","1.40e9"
"2020-02-20","30.80","29.92","-2.06","29.75","30.89","2.22e9"
"2020-02-19","29.87","30.55","2.69","29.76","30.55","1.33e9"
"2020-02-18","29.06","29.75","1.33","28.95","29.77","995.60e6"
"2020-02-17","29.63","29.36","-0.20","29.31","29.77","1.14e9"
"2020-02-14","29.86","29.42","-1.01","29.34","29.96","900.77e6"
"2020-02-13","29.77","29.72","-1.36","29.64","30.21","1.65e9"
"2020-02-12","29.64","30.13","2.20","29.63","30.28","1.95e9"
"2020-02-11","29.40","29.48","1.20","29.26","29.63","1.11e9"
"2020-02-10","28.89","29.13","0.69","28.64","29.13","1.31e9"
"2020-02-07","29.00","28.93","-0.86","28.73","29.35","1.59e9"
"2020-02-06","28.70","29.18","2.78","28.12","29.51","3.66e9"
"2020-02-05","29.05","28.39","-0.84","28.39","29.22","1.95e9"
"2020-02-04","28.65","28.63","1.60","28.56","29.04","1.66e9"
"2020-02-03","28.52","28.18","-0.95","28.16","28.73","1.12e9"
